ID,ID_Measure,MeasureDate,ID_Item,BallsName,MillName,Gross,Tare,Net,Operator,Field1
11940,3,4/1/2018,46,ф 80 stomana,4,4080,0,4080,Петко,
11941,2,3/31/2018,26,ф 80 stomana,2,4120,0,4120,Петко,
11942,1,3/31/2018,16,ф 80 stomana,1,4010,0,4010,Петко,
11943,5,3/31/2018,114,ф 80 polski,11,3020,0,3020,Николай,
11944,4,3/31/2018,104,ф 80 polski,10,4030,0,4030,Николай,
11945,3,3/31/2018,94,ф 80 polski,9,4040,0,4040,Николай,
11946,2,3/31/2018,65,ф 80 cheshki,6,4200,0,4200,Николай,
11947,1,3/31/2018,35,ф 80 cheshki,3,4040,0,4040,Николай,
11948,6,3/31/2018,86,ф 80 stomana,8,3680,0,3680,Стойчо,
11949,5,3/31/2018,76,ф 80 stomana,7,2950,0,2950,Стойчо,
11950,4,3/31/2018,56,ф 80 stomana,5,3590,0,3590,Стойчо,
11951,3,3/31/2018,46,ф 80 stomana,4,3030,0,3030,Стойчо,
11952,2,3/31/2018,26,ф 80 stomana,2,3600,0,3600,Стойчо,
11953,1,3/30/2018,16,ф 80 stomana,1,3660,0,3660,Стойчо,
11954,5,3/30/2018,114,ф 80 polski,11,3030,0,3030,Валентин,
11955,4,3/30/2018,104,ф 80 polski,10,4060,0,4060,Валентин,
11956,3,3/30/2018,94,ф 80 polski,9,4030,0,4030,Валентин,
11957,2,3/30/2018,65,ф 80 cheshki,6,4390,0,4390,Валентин,
11958,1,3/30/2018,35,ф 80 cheshki,3,4000,0,4000,Валентин,
11959,5,3/30/2018,76,ф 80 stomana,7,2220,0,2220,Николай,
11960,4,3/30/2018,56,ф 80 stomana,5,2110,0,2110,Николай,
11961,3,3/30/2018,46,ф 80 stomana,4,2060,0,2060,Николай,
11962,2,3/29/2018,26,ф 80 stomana,2,2080,0,2080,Николай,
11963,1,3/29/2018,16,ф 80 stomana,1,2350,0,2350,Николай,
11964,4,3/29/2018,104,ф 80 polski,10,3020,0,3020,Валентин,
11965,3,3/29/2018,94,ф 80 polski,9,3020,0,3020,Валентин,
11966,2,3/29/2018,65,ф 80 cheshki,6,3470,0,3470,Валентин,
11967,1,3/29/2018,35,ф 80 cheshki,3,3190,0,3190,Валентин,
11968,2,3/29/2018,3,ф 30 ukraina,22,3060,0,3060,Сашо,
11969,1,3/29/2018,1,ф 70 stomanaD,21,3100,0,3100,Сашо,
11970,7,3/29/2018,87,ф 60 stomana,8,3020,0,3020,Светльо,
11971,6,3/29/2018,114,ф 80 polski,11,3010,0,3010,Красимир,
11972,5,3/29/2018,86,ф 80 stomana,8,2080,0,2080,Красимир,
11973,4,3/28/2018,76,ф 80 stomana,7,2050,0,2050,Красимир,
11974,3,3/28/2018,56,ф 80 stomana,5,2050,0,2050,Красимир,
11975,2,3/28/2018,26,ф 80 stomana,2,2050,0,2050,Красимир,
11976,1,3/28/2018,16,ф 80 stomana,1,2060,0,2060,Красимир,
11977,4,3/28/2018,65,ф 80 cheshki,6,3160,0,3160,Иван,
11978,3,3/28/2018,94,ф 80 polski,9,2940,0,2940,Иван,
11979,2,3/28/2018,104,ф 80 polski,10,3020,0,3020,Иван,
11980,1,3/28/2018,35,ф 80 cheshki,3,3150,0,3150,Иван,
11981,3,3/28/2018,76,ф 80 stomana,7,2250,0,2250,Момчил,
11982,2,3/27/2018,56,ф 80 stomana,5,2040,0,2040,Момчил,
11983,1,3/27/2018,26,ф 80 stomana,2,2090,0,2090,Момчил,
11984,5,3/27/2018,104,ф 80 polski,10,3030,0,3030,Михайлов,
11985,4,3/27/2018,114,ф 80 polski,11,3030,0,3030,Михайлов,
11986,3,3/27/2018,94,ф 80 polski,9,3030,0,3030,Михайлов,
11987,2,3/27/2018,65,ф 80 cheshki,6,2100,0,2100,Михайлов,
11988,1,3/27/2018,35,ф 80 cheshki,3,2000,0,2000,Михайлов,
11989,2,3/27/2018,3,ф 30 ukraina,22,3000,0,3000,Валентин,
11990,1,3/27/2018,1,ф 70 stomanaD,21,3040,0,3040,Валентин,
11991,1,3/27/2018,87,ф 60 stomana,8,3180,0,3180,Валентин,
11992,2,3/26/2018,94,ф 80 polski,9,2710,0,2710,МИХАИЛ,
11993,1,3/26/2018,16,ф 80 stomana,1,3050,0,3050,Петко,
11994,4,3/26/2018,76,ф 80 stomana,7,2320,0,2320,Валентин,
11995,3,3/26/2018,56,ф 80 stomana,5,2020,0,2020,Валентин,
11996,2,3/26/2018,46,ф 80 stomana,4,2210,0,2210,Валентин,
11997,1,3/26/2018,26,ф 80 stomana,2,2040,0,2040,Валентин,
11998,5,3/25/2018,114,ф 80 polski,11,3060,0,3060,Илиев,
11999,4,3/25/2018,104,ф 80 polski,10,4040,0,4040,Илиев,
12000,3,3/25/2018,94,ф 80 polski,9,4050,0,4050,Илиев,
12001,2,3/25/2018,65,ф 80 cheshki,6,4240,0,4240,Илиев,
12002,1,3/25/2018,35,ф 80 cheshki,3,4130,0,4130,Илиев,
12003,6,3/25/2018,86,ф 80 stomana,8,3570,0,3570,Валентин,
12004,5,3/25/2018,76,ф 80 stomana,7,3360,0,3360,Валентин,
12005,4,3/25/2018,56,ф 80 stomana,5,2520,0,2520,Валентин,
12006,3,3/25/2018,46,ф 80 stomana,4,3350,0,3350,Валентин,
12007,2,3/25/2018,26,ф 80 stomana,2,3360,0,3360,Валентин,
12008,1,3/25/2018,16,ф 80 stomana,1,2750,0,2750,Валентин,
12009,4,3/24/2018,104,ф 80 polski,10,4000,0,4000,Светлин,
12010,3,3/24/2018,94,ф 80 polski,9,4010,0,4010,Светлин,
12011,2,3/24/2018,65,ф 80 cheshki,6,4060,0,4060,Светлин,
12012,1,3/24/2018,35,ф 80 cheshki,3,2980,0,2980,Светлин,
12013,6,3/24/2018,86,ф 80 stomana,8,2210,0,2210,Валентин,
12014,5,3/24/2018,76,ф 80 stomana,7,2280,0,2280,Валентин,
12015,4,3/24/2018,56,ф 80 stomana,5,2240,0,2240,Валентин,
12016,3,3/24/2018,46,ф 80 stomana,4,2080,0,2080,Валентин,
12017,2,3/24/2018,26,ф 80 stomana,2,2090,0,2090,Валентин,
12018,1,3/24/2018,16,ф 80 stomana,1,2010,0,2010,Валентин,
12019,5,3/23/2018,114,ф 80 polski,11,3030,0,3030,Александър,
12020,4,3/23/2018,104,ф 80 polski,10,4040,0,4040,Александър,
12021,3,3/23/2018,94,ф 80 polski,9,4020,0,4020,Александър,
12022,2,3/23/2018,65,ф 80 cheshki,6,3030,0,3030,Александър,
12023,1,3/23/2018,35,ф 80 cheshki,3,3030,0,3030,Александър,
12024,2,3/23/2018,1,ф 70 stomanaD,21,3170,0,3170,Георги,
12025,1,3/23/2018,3,ф 30 ukraina,22,2990,0,2990,Георги,
12026,5,3/23/2018,16,ф 80 stomana,1,3870,0,3870,Михайлов,
12027,4,3/23/2018,26,ф 80 stomana,2,4100,0,4100,Михайлов,
12028,3,3/23/2018,46,ф 80 stomana,4,3900,0,3900,Михайлов,
12029,2,3/23/2018,56,ф 80 stomana,5,4020,0,4020,Михайлов,
12030,1,3/23/2018,86,ф 80 stomana,8,4090,0,4090,Михайлов,
12031,4,3/22/2018,114,ф 80 polski,11,3040,0,3040,Саво,
12032,3,3/22/2018,104,ф 80 polski,10,4040,0,4040,Саво,
12033,2,3/22/2018,94,ф 80 polski,9,4050,0,4050,Саво,
12034,1,3/22/2018,35,ф 80 cheshki,3,4100,0,4100,Саво,
12035,1,3/22/2018,65,ф 80 cheshki,6,3960,0,3960,Саво,
12036,4,3/21/2018,104,ф 80 polski,10,4070,0,4070,Михайлов,
12037,3,3/21/2018,94,ф 80 polski,9,4060,0,4060,Михайлов,
12038,2,3/21/2018,65,ф 80 cheshki,6,3040,0,3040,Момчил,
12039,1,3/21/2018,35,ф 80 cheshki,3,4130,0,4130,Момчил,
12040,4,3/20/2018,86,ф 80 stomana,8,4080,0,4080,Стойчо,
12041,3,3/20/2018,56,ф 80 stomana,5,4010,0,4010,Стойчо,
12042,2,3/20/2018,46,ф 80 stomana,4,4000,0,4000,Стойчо,
12043,1,3/20/2018,26,ф 80 stomana,2,4030,0,4030,Стойчо,
12044,2,3/20/2018,1,ф 70 stomanaD,21,3110,0,3110,Николай,
12045,1,3/20/2018,3,ф 30 ukraina,22,2970,0,2970,Николай,
12046,4,3/19/2018,86,ф 80 stomana,8,4100,0,4100,Сашо,
12047,3,3/19/2018,56,ф 80 stomana,5,4060,0,4060,Сашо,
12048,2,3/19/2018,46,ф 80 stomana,4,4040,0,4040,Сашо,
12049,1,3/19/2018,26,ф 80 stomana,2,4010,0,4010,Сашо,
12050,1,3/19/2018,16,ф 80 stomana,1,4110,0,4110,Сашо,
12051,5,3/18/2018,114,ф 80 polski,11,3020,0,3020,Николай,
12052,4,3/18/2018,104,ф 80 polski,10,4040,0,4040,Николай,
12053,3,3/18/2018,94,ф 80 polski,9,4060,0,4060,Николай,
12054,2,3/18/2018,65,ф 80 cheshki,6,3800,0,3800,Николай,
12055,1,3/18/2018,35,ф 80 cheshki,3,4120,0,4120,Николай,
12057,4,3/18/2018,86,ф 80 stomana,8,3100,0,3100,Саво,
12058,3,3/18/2018,56,ф 80 stomana,5,3120,0,3120,Саво,
12059,2,3/18/2018,46,ф 80 stomana,4,3000,0,3000,Саво,
12060,1,3/18/2018,26,ф 80 stomana,2,2110,0,2110,Саво,
12061,5,3/17/2018,114,ф 80 polski,11,3020,0,3020,Красимир,
12062,4,3/17/2018,104,ф 80 polski,10,4020,0,4020,Красимир,
12063,3,3/17/2018,94,ф 80 polski,9,4010,0,4010,Красимир,
12064,2,3/17/2018,65,ф 80 cheshki,6,3820,0,3820,Красимир,
12065,1,3/17/2018,35,ф 80 cheshki,3,3070,0,3070,Красимир,
12066,5,3/17/2018,86,ф 80 stomana,8,2200,0,2200,Петко,
12067,4,3/17/2018,76,ф 80 stomana,7,2150,0,2150,Петко,
12068,3,3/17/2018,56,ф 80 stomana,5,2190,0,2190,Петко,
12069,2,3/17/2018,46,ф 80 stomana,4,2020,0,2020,Петко,
12070,1,3/17/2018,26,ф 80 stomana,2,2210,0,2210,Петко,
12071,5,3/16/2018,114,ф 80 polski,11,3020,0,3020,Момчил,
12072,4,3/16/2018,104,ф 80 polski,10,3020,0,3020,Момчил,
12073,3,3/16/2018,94,ф 80 polski,9,3030,0,3030,Момчил,
12074,2,3/16/2018,65,ф 80 cheshki,6,4020,0,4020,Момчил,
12075,1,3/16/2018,35,ф 80 cheshki,3,3030,0,3030,Момчил,
12076,4,3/16/2018,76,ф 80 stomana,7,2170,0,2170,Стойчо,
12078,3,3/16/2018,56,ф 80 stomana,5,2180,0,2180,Стойчо,
12079,2,3/16/2018,46,ф 80 stomana,4,2160,0,2160,Стойчо,
12080,1,3/16/2018,26,ф 80 stomana,2,2120,0,2120,Стойчо,
12081,2,3/15/2018,65,ф 80 cheshki,6,2120,0,2120,Иван,
12082,1,3/15/2018,35,ф 80 cheshki,3,2470,0,2470,Иван,
12083,3,3/15/2018,94,ф 80 polski,9,3040,0,3040,Иван,
12084,2,3/15/2018,104,ф 80 polski,10,3030,0,3030,Иван,
12085,1,3/15/2018,87,ф 60 stomana,8,3140,0,3140,Иван,
12086,2,3/15/2018,3,ф 30 ukraina,22,2910,0,2910,Гошо,
12087,1,3/15/2018,1,ф 70 stomanaD,21,3110,0,3110,Гошо,
12088,4,3/14/2018,87,ф 60 stomana,8,3000,0,3000,Валентин,
12089,3,3/14/2018,114,ф 80 polski,11,3000,0,3000,Валентин,
12090,2,3/14/2018,104,ф 80 polski,10,4000,0,4000,Валентин,
12091,1,3/14/2018,94,ф 80 polski,9,4000,0,4000,Валентин,
12092,2,3/14/2018,65,ф 80 cheshki,6,3250,0,3250,Валентин,
12094,1,3/14/2018,35,ф 80 cheshki,3,2990,0,2990,Валентин,
12095,4,3/14/2018,76,ф 80 stomana,7,2430,0,2430,Светлин,
12096,3,3/14/2018,46,ф 80 stomana,4,1940,0,1940,Светлин,
12097,2,3/14/2018,26,ф 80 stomana,2,2380,0,2380,Светлин,
12098,1,3/14/2018,16,ф 80 stomana,1,2040,0,2040,Светлин,
12099,2,3/13/2018,1,ф 70 stomanaD,21,3170,0,3170,Саво,
12100,1,3/13/2018,3,ф 30 ukraina,22,3010,0,3010,Саво,
12101,5,3/12/2018,86,ф 80 stomana,8,3930,0,3930,Momchil,
12102,4,3/12/2018,76,ф 80 stomana,7,3980,0,3980,Momchil,
12103,3,3/12/2018,46,ф 80 stomana,4,4100,0,4100,Momchil,
12104,2,3/12/2018,26,ф 80 stomana,2,4000,0,4000,Momchil,
12105,1,3/12/2018,16,ф 80 stomana,1,4020,0,4020,Momchil,
12106,5,3/11/2018,35,ф 80 cheshki,3,4070,0,4070,Илиев,
12107,4,3/11/2018,65,ф 80 cheshki,6,4050,0,4050,Илиев,
12108,3,3/11/2018,104,ф 80 polski,10,4010,0,4010,Илиев,
12109,2,3/11/2018,114,ф 80 polski,11,3020,0,3020,Илиев,
12110,1,3/11/2018,94,ф 80 polski,9,4040,0,4040,Илиев,
12111,6,3/11/2018,86,ф 80 stomana,8,3220,0,3220,Иван,
12112,5,3/11/2018,76,ф 80 stomana,7,3130,0,3130,Иван,
12113,4,3/11/2018,56,ф 80 stomana,5,3390,0,3390,Иван,
12114,3,3/11/2018,46,ф 80 stomana,4,3290,0,3290,Иван,
12115,2,3/11/2018,26,ф 80 stomana,2,3020,0,3020,Иван,
12116,1,3/11/2018,16,ф 80 stomana,1,3220,0,3220,Иван,
12117,5,3/10/2018,35,ф 80 cheshki,3,2870,0,2870,Илиев,
12118,4,3/10/2018,65,ф 80 cheshki,6,3130,0,3130,Илиев,
12119,3,3/10/2018,114,ф 80 polski,11,3050,0,3050,Илиев,
12120,2,3/10/2018,104,ф 80 polski,10,3050,0,3050,Илиев,
12121,1,3/10/2018,94,ф 80 polski,9,3040,0,3040,Илиев,
12122,5,3/10/2018,76,ф 80 stomana,7,3090,0,3090,Валентин,
12123,4,3/10/2018,56,ф 80 stomana,5,3160,0,3160,Валентин,
12124,3,3/10/2018,46,ф 80 stomana,4,3020,0,3020,Валентин,
12125,2,3/10/2018,26,ф 80 stomana,2,3000,0,3000,Валентин,
12126,1,3/10/2018,16,ф 80 stomana,1,3350,0,3350,Валентин,
12127,4,3/9/2018,104,ф 80 polski,10,3020,0,3020,Сашо,
12128,3,3/9/2018,94,ф 80 polski,9,3040,0,3040,Сашо,
12129,2,3/9/2018,65,ф 80 cheshki,6,2960,0,2960,Сашо,
12130,1,3/9/2018,35,ф 80 cheshki,3,2910,0,2910,Сашо,
12131,7,3/9/2018,87,ф 60 stomana,8,3130,0,3100,Христо,
12132,2,3/9/2018,3,ф 30 ukraina,22,3000,0,3030,Христо,
12133,1,3/9/2018,1,ф 70 stomanaD,21,3110,0,3150,Христо,
12134,6,3/9/2018,86,ф 80 stomana,8,2380,0,2380,Иван,
12135,5,3/9/2018,76,ф 80 stomana,7,2380,0,2380,Иван,
12136,4,3/9/2018,56,ф 80 stomana,5,2340,0,2340,Иван,
12137,3,3/9/2018,46,ф 80 stomana,4,2130,0,2130,Иван,
12138,2,3/9/2018,26,ф 80 stomana,2,2470,0,2470,Иван,
12139,1,3/9/2018,16,ф 80 stomana,1,2340,0,2340,Иван,
12140,5,3/8/2018,114,ф 80 polski,11,3030,0,3030,Саво,
12141,4,3/8/2018,104,ф 80 polski,10,3020,0,3020,Саво,
12142,3,3/8/2018,94,ф 80 polski,9,3010,0,3010,Саво,
12143,2,3/8/2018,65,ф 80 cheshki,6,2010,0,2010,Саво,
12144,1,3/8/2018,35,ф 80 cheshki,3,2920,0,2920,Саво,
12145,6,3/8/2018,16,ф 80 stomana,1,3110,0,3110,Михайлов,
12146,5,3/8/2018,26,ф 80 stomana,2,3000,0,3000,Михайлов,
12147,4,3/8/2018,46,ф 80 stomana,4,2940,0,2940,Михайлов,
12148,3,3/8/2018,56,ф 80 stomana,5,2900,0,2900,Михайлов,
12149,2,3/8/2018,76,ф 80 stomana,7,3050,0,3050,Михайлов,
12150,1,3/8/2018,86,ф 80 stomana,8,3230,0,3230,Михайлов,
12151,4,3/7/2018,104,ф 80 polski,10,3020,0,3020,Светльо,
12152,3,3/7/2018,94,ф 80 polski,9,3000,0,3000,Светльо,
12153,2,3/7/2018,65,ф 80 cheshki,6,3290,0,3290,Светльо,
12154,1,3/7/2018,35,ф 80 cheshki,3,3390,0,3390,Светльо,
12155,5,3/7/2018,16,ф 80 stomana,1,3200,0,3200,Илиев,
12156,4,3/7/2018,26,ф 80 stomana,2,3160,0,3160,Илиев,
12157,3,3/7/2018,46,ф 80 stomana,4,2980,0,2980,Илиев,
12158,2,3/7/2018,56,ф 80 stomana,5,2940,0,2940,Илиев,
12159,1,3/7/2018,76,ф 80 stomana,7,3160,0,3160,Илиев,
12160,5,3/6/2018,114,ф 80 polski,11,3010,0,3010,Петко,
12161,4,3/6/2018,104,ф 80 polski,10,3010,0,3010,Петко,
12162,3,3/6/2018,94,ф 80 polski,9,3010,0,3010,Петко,
12163,2,3/6/2018,65,ф 80 cheshki,6,3140,0,3140,Петко,
12164,1,3/6/2018,35,ф 80 cheshki,3,3060,0,3060,Петко,
12165,2,3/6/2018,1,ф 70 stomanaD,21,3010,0,3010,Момчил,
12166,1,3/6/2018,3,ф 30 ukraina,22,2900,0,2900,Момчил,
12167,1,3/6/2018,87,ф 60 stomana,8,3050,0,3050,Момчил,
12168,6,3/6/2018,16,ф 80 stomana,1,2210,0,2210,Михайлов,
12169,5,3/6/2018,26,ф 80 stomana,2,1880,0,1880,Михайлов,
12170,4,3/6/2018,46,ф 80 stomana,4,2120,0,2120,Михайлов,
12171,3,3/6/2018,56,ф 80 stomana,5,1970,0,1970,Михайлов,
12172,2,3/6/2018,76,ф 80 stomana,7,2180,0,2180,Михайлов,
12173,1,3/6/2018,86,ф 80 stomana,8,2040,0,2040,Михайлов,
12174,4,3/5/2018,104,ф 80 polski,10,3000,0,3000,Стойчо,
12175,3,3/5/2018,94,ф 80 polski,9,3010,0,3010,Стойчо,
12176,2,3/5/2018,65,ф 80 cheshki,6,2250,0,2250,Стойчо,
12177,1,3/5/2018,35,ф 80 cheshki,3,2850,0,2850,Стойчо,
12178,6,3/5/2018,86,ф 80 stomana,8,2920,0,2920,Касерес,
12179,5,3/5/2018,76,ф 80 stomana,7,2100,0,2100,Касерес,
12180,4,3/5/2018,56,ф 80 stomana,5,3100,0,2100,Касерес,
12181,3,3/5/2018,46,ф 80 stomana,4,3020,0,3020,Касерес,
12182,2,3/5/2018,26,ф 80 stomana,2,1940,0,1940,Касерес,
12183,1,3/5/2018,16,ф 80 stomana,1,2040,0,2040,Касерес,
12184,5,3/4/2018,114,ф 80 polski,11,3120,0,3120,Николай,
12185,4,3/4/2018,104,ф 80 polski,10,3010,0,3010,Николай,
12186,3,3/4/2018,94,ф 80 polski,9,3020,0,3020,Николай,
12187,2,3/4/2018,65,ф 80 cheshki,6,3000,0,3000,Николай,
12188,1,3/4/2018,35,ф 80 cheshki,3,3190,0,3190,Николай,
12189,6,3/4/2018,76,ф 80 stomana,7,2010,0,2010,Саво,
12190,5,3/4/2018,86,ф 80 stomana,8,2170,0,2170,Саво,
12191,4,3/4/2018,56,ф 80 stomana,5,2070,0,2070,Саво,
12192,3,3/4/2018,46,ф 80 stomana,4,2110,0,2110,Саво,
12193,2,3/4/2018,26,ф 80 stomana,2,2120,0,2120,Саво,
12194,1,3/4/2018,16,ф 80 stomana,1,2320,0,2320,Саво,
12195,4,3/3/2018,104,ф 80 polski,10,3040,0,3040,Николай,
12196,3,3/3/2018,94,ф 80 polski,9,3010,0,3010,Николай,
12197,2,3/3/2018,65,ф 80 cheshki,6,2160,0,2160,Николай,
12198,1,3/3/2018,35,ф 80 cheshki,3,2100,0,2100,Николай,
12199,6,3/3/2018,86,ф 80 stomana,8,2900,0,2900,СВЕТЛИН,
12200,5,3/3/2018,76,ф 80 stomana,7,2920,0,2920,СВЕТЛИН,
12201,4,3/3/2018,56,ф 80 stomana,5,3030,0,3030,СВЕТЛИН,
12202,3,3/3/2018,36,ф 80 stomana,4,3150,0,3150,СВЕТЛИН,
12203,2,3/3/2018,26,ф 80 stomana,2,3180,0,3180,СВЕТЛИН,
12204,1,3/3/2018,16,ф 80 stomana,1,2920,0,2920,СВЕТЛИН,
12205,5,3/2/2018,114,ф 80 polski,11,2990,0,2990,Красимир,
12206,4,3/2/2018,104,ф 80 polski,10,3010,0,3010,Красимир,
12207,3,3/2/2018,94,ф 80 polski,9,3010,0,3010,Красимир,
12208,2,3/2/2018,65,ф 80 cheshki,6,2990,0,2990,Красимир,
12209,1,3/2/2018,35,ф 80 cheshki,3,2990,0,2990,Красимир,
12210,6,3/2/2018,86,ф 80 stomana,8,2120,0,2120,Петко,
12211,5,3/2/2018,76,ф 80 stomana,7,2130,0,2130,Петко,
12212,4,3/2/2018,56,ф 80 stomana,5,1940,0,1940,Петко,
12213,3,3/2/2018,46,ф 80 stomana,4,2100,0,2100,Петко,
12214,2,3/2/2018,26,ф 80 stomana,2,2070,0,2070,Петко,
12215,1,3/2/2018,16,ф 80 stomana,1,1970,0,1970,Петко,
12216,4,3/1/2018,65,ф 80 cheshki,6,3120,0,3120,Момчил,
12217,3,3/1/2018,35,ф 80 cheshki,3,2900,0,2900,Момчил,
12218,2,3/1/2018,104,ф 80 polski,10,3000,0,3000,Момчил,
12219,1,3/1/2018,94,ф 80 polski,9,3020,0,3020,Момчил,
12220,4,2/28/2018,94,ф 80 polski,9,4050,0,4050,Иван,
12221,3,2/28/2018,56,ф 80 stomana,5,4000,0,4000,Иван,
12222,2,2/28/2018,46,ф 80 stomana,4,4010,0,4010,Иван,
12223,1,2/28/2018,35,ф 80 cheshki,3,3880,0,3880,Иван,
12224,3,2/28/2018,114,ф 80 polski,11,4000,0,4000,Иван,
12225,2,2/28/2018,26,ф 80 stomana,2,4060,0,4060,Иван,
12226,1,2/28/2018,16,ф 80 stomana,1,4320,0,4320,Иван,
12227,2,2/28/2018,76,ф 80 stomana,7,3870,0,3870,Михайлов,
12228,1,2/28/2018,104,ф 80 polski,10,4030,0,4030,Михайлов,
12229,1,2/28/2018,87,ф 60 stomana,8,3200,0,3200,Михайлов,
12230,3,2/28/2018,3,ф 30 ukraina,22,3060,0,3060,Михайлов,
12231,1,2/28/2018,1,ф 70 stomanaD,21,2110,0,2110,Михайлов,
12232,3,2/28/2018,65,ф 80 cheshki,6,4050,0,4050,Михайлов,
12233,5,2/27/2018,76,ф 80 stomana,7,4010,0,4010,Михаил,
12234,4,2/27/2018,56,ф 80 stomana,5,4040,0,4040,Михаил,
12235,3,2/27/2018,46,ф 80 stomana,4,3990,0,3990,Михаил,
12236,2,2/27/2018,26,ф 80 stomana,2,4230,0,4230,Михаил,
12237,1,2/27/2018,16,ф 80 stomana,1,3920,0,3920,Михаил,
12238,6,2/26/2018,87,ф 60 stomana,8,3080,0,3080,Иван,
12239,5,2/26/2018,114,ф 80 polski,11,4020,0,4020,Иван,
12240,4,2/26/2018,104,ф 80 polski,10,4050,0,4050,Иван,
12241,3,2/26/2018,94,ф 80 polski,9,4020,0,4020,Иван,
12242,2,2/26/2018,65,ф 80 cheshki,6,3960,0,3960,Иван,
12243,1,2/26/2018,35,ф 80 cheshki,3,3870,0,3870,Иван,
12244,2,2/26/2018,3,ф 30 ukraina,22,3040,0,3040,Георги,
12245,1,2/26/2018,1,ф 70 stomanaD,21,3090,0,3090,Георги,
12246,6,2/26/2018,86,ф 80 stomana,8,2070,0,2070,Николай,
12247,5,2/26/2018,76,ф 80 stomana,7,2950,0,2950,Николай,
12248,4,2/26/2018,55,ф 80 stomana,5,3000,0,3000,Николай,
12249,3,2/26/2018,46,ф 80 stomana,4,3010,0,3010,Николай,
12250,2,2/25/2018,26,ф 80 stomana,2,3080,0,3080,Николай,
12251,1,2/25/2018,16,ф 80 stomana,1,2880,0,2880,Николай,
12252,4,2/25/2018,35,ф 80 cheshki,3,2060,0,2060,Михайлов,
12253,3,2/25/2018,65,ф 80 cheshki,6,2070,0,2070,Михайлов,
12254,2,2/25/2018,94,ф 80 polski,9,3010,0,3010,Михайлов,
12255,1,2/25/2018,104,ф 80 polski,10,3010,0,3010,Михайлов,
12256,6,2/25/2018,86,ф 80 stomana,8,2000,0,2000,Красимир,
12257,5,2/25/2018,76,ф 80 stomana,7,2070,0,2070,Красимир,
12258,4,2/25/2018,56,ф 80 stomana,5,3070,0,3070,Красимир,
12259,3,2/25/2018,46,ф 80 stomana,4,3080,0,3080,Красимир,
12260,2,2/25/2018,26,ф 80 stomana,2,2000,0,2000,Красимир,
12261,1,2/24/2018,16,ф 80 stomana,1,2000,0,2000,Красимир,
12262,5,2/24/2018,104,ф 80 polski,10,3010,0,3010,Михайлов,
12263,4,2/24/2018,114,ф 80 polski,11,3020,0,3020,Михайлов,
12264,3,2/24/2018,94,ф 80 polski,9,3000,0,3000,Михайлов,
12265,2,2/24/2018,65,ф 80 cheshki,6,3280,0,3280,Михайлов,
12266,1,2/24/2018,35,ф 80 cheshki,3,3090,0,3090,Михайлов,
12267,5,2/24/2018,76,ф 80 stomana,7,2440,0,2440,Иван,
12268,4,2/24/2018,56,ф 80 stomana,5,2700,0,2700,Иван,
12269,3,2/24/2018,46,ф 80 stomana,4,2080,0,2080,Иван,
12270,2,2/24/2018,26,ф 80 stomana,2,2670,0,2670,Иван,
12271,1,2/24/2018,16,ф 80 stomana,1,2700,0,2700,Иван,
12272,1,2/23/2018,65,ф 80 cheshki,6,1920,0,1920,Михайлов,
12273,3,2/23/2018,104,ф 80 polski,10,3030,0,3030,Михайлов,
12274,2,2/23/2018,94,ф 80 polski,9,3030,0,3030,Михайлов,
12275,1,2/23/2018,87,ф 60 stomana,8,3150,0,3150,Михайлов,
12276,7,2/23/2018,87,ф 60 stomana,8,3150,0,3150,Валентин,
12277,6,2/23/2018,76,ф 80 stomana,7,3210,0,3210,Валентин,
12278,5,2/23/2018,56,ф 80 stomana,5,3210,0,3210,Валентин,
12279,4,2/23/2018,46,ф 80 stomana,4,3250,0,3250,Валентин,
12280,2,2/23/2018,26,ф 80 stomana,2,3400,0,3400,Валентин,
12281,1,2/23/2018,16,ф 80 stomana,1,3340,0,3340,Валентин,
12282,5,2/22/2018,114,ф 80 polski,11,2040,0,2040,Касерес,
12283,4,2/22/2018,104,ф 80 polski,10,4020,0,4020,Касерес,
12284,3,2/22/2018,94,ф 80 polski,9,4070,0,4070,Касерес,
12285,2,2/22/2018,65,ф 80 cheshki,6,2060,0,2060,Касерес,
12286,1,2/22/2018,35,ф 80 cheshki,3,1920,0,1920,Касерес,
12287,2,2/22/2018,3,ф 30 ukraina,22,3030,0,3030,Георги,
12288,1,2/22/2018,1,ф 70 stomanaD,21,2040,0,2040,Георги,
12289,9,2/21/2018,104,ф 80 polski,10,4050,0,4050,Саво,
12290,8,2/21/2018,94,ф 80 polski,9,4020,0,4020,Саво,
12291,7,2/21/2018,35,ф 80 cheshki,3,2890,0,2890,Саво,
12292,6,2/20/2018,16,ф 80 stomana,1,2020,0,2020,Иван Илиев,
12293,5,2/20/2018,26,ф 80 stomana,2,2260,0,2260,Иван Илиев,
12294,4,2/20/2018,46,ф 80 stomana,4,2100,0,2100,Иван Илиев,
12295,3,2/20/2018,56,ф 80 stomana,5,2240,0,2240,Иван Илиев,
12296,2,2/20/2018,76,ф 80 stomana,7,2120,0,2120,Иван Илиев,
12297,1,2/20/2018,86,ф 80 stomana,8,2340,0,2340,Иван Илиев,
12298,4,2/19/2018,114,ф 80 polski,11,3020,0,3020,Петко,
12299,3,2/19/2018,104,ф 80 polski,10,3020,0,3020,Петко,
12300,2,2/19/2018,94,ф 80 polski,9,4020,0,4020,Петко,
